Symbol
AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
BRK-B
UNH
JNJ
XOM
WMT
META
JPM
CVX
LLY
PG
V
NVDA
MA
HD
BAC
ABBV
KO
PFE
PEP
MRK
COST
TMO
DHR
MCD
DIS
ORCL
AVGO
ACN
CSCO
ABT
TMUS
WFC
COP
CRM
VZ
BMY
NEE
LIN
TXN
ADBE
PM
CMCSA
MS
AMGN
RTX
QCOM
UNP
SCHW
UPS
HON
NFLX
CVS
ELV
LMT
LOW
INTU
DE
NKE
MDT
T
IBM
AXP
INTC
GS
SBUX
SPGI
PYPL
CAT
ADP
AMD
CI
AMT
BLK
C
GILD
BA
SYK
CB
MO
MDLZ
NOC
MMC
GE
TJX
EOG
REGN
PLD
ISRG
VRTX
ADI
NOW
TGT
PGR
BKNG
ZTS
SO
DUK
WM
AMAT
GD
MMM
SLB
BDX
OXY
HUM
PNC
CME
FISV
USB
PXD
HCA
CSX
CL
ITW
AON
BSX
MU
CCI
ATVI
TFC
ETN
MET
D
MPC
DG
SHW
APD
KDP
EW
CHTR
MCK
ICE
NSC
PSA
ADM
MRNA
GM
EL
F
EQIX
PSX
DVN
ORLY
FIS
MNST
GIS
LHX
SRE
LRCX
CTVA
AZO
KHC
MCO
SNPS
AEP
CNC
STZ
ADSK
CMG
RSG
CDNS
APH
ECL
TRV
FTNT
CTAS
FCX
KMI
PAYX
AIG
HES
FDX
TWTR
ROP
SYY
KMB
KLAC
BIIB
A
DXCM
AFL
WMB
AJG
MSI
NXPI
COF
ALL
EXC
JCI
PRU
TEL
HLT
O
EA
PCG
PH
TT
XEL
IQV
HSY
ENPH
MCHP
DOW
ILMN
MSCI
SPG
NEM
ANET
NUE
CMI
PCAR
RMD
BK
YUM
DLTR
GPN
BF-B
CTSH
KR
WBD
ALB
ED
ABC
TDG
CARR
MTB
ODFL
ROST
HAL
WBA
KEYS
CSGP
AMP
VICI
CEG
IDXX
BAX
OTIS
NDAQ
WEC
DLR
PEG
SBAC
LVS
DD
AME
ROK
PPG
WELL
VRSK
GLW
GWW
CPRT
FAST
ON
MTD
BKR
ES
LYB
HPQ
DFS
FANG
HRL
K
OKE
AWK
AVB
CTRA
EQR
STT
IFF
DHI
APTV
WTW
TROW
FITB
ZBH
IT
GPC
EXR
HIG
TSCO
CBRE
EIX
RJF
FTV
CDW
WY
ARE
FE
DTE
DAL
EBAY
ETR
VMC
LEN
MOH
TTWO
AEE
FRC
URI
MKC
MRO
CF
INVH
ULTA
LUV
HBAN
PFG
EFX
MLM
VRSN
RF
LH
PAYC
EPAM
PWR
WRB
TSN
IR
ANSS
PPL
SIVB
CAH
MOS
LYV
CFG
ROL
WST
CHD
BRO
J
JBHT
DOV
MAA
CNP
CLX
BR
CAG
XYL
STE
WAT
NTRS
HPE
AMCR
TDY
DRI
CMS
AES
PKI
CINF
ALGN
WAB
GRMN
FOX
FOXA
EQT
HOLX
INCY
FDS
IEX
BALL
KEY
CPB
EXPD
SJM
SYF
TRGP
VTR
ESS
DGX
MPWR
FMC
EXPE
BBY
ATO
HWM
LKQ
OMC
TYL
AVY
JKHY
APA
TRMB
NTAP
ZBRA
IRM
EVRG
AKAM
L
SWKS
TXT
NVR
CTLT
UAL
MGM
PTC
LDOS
CBOE
MTCH
COO
LNT
UDR
FLT
HST
PARA
NDSN
NLOK
PEAK
LW
CPT
ETSY
RCL
KIM
POOL
IP
CHRW
ABMD
TER
DPZ
BIO
SNA
TECH
VTRS
BXP
IPG
BEN
VFC
SEDG
STX
RE
GL
SWK
PKG
WDC
MAS
AAP
CRL
NI
CE
NRG
TAP
HII
NWS
NWSA
REG
TFX
SBNY
HSIC
AAL
KMX
EMN
HAS
RHI
CMA
JNPR
MKTX
CDAY
PHM
CCL
FFIV
QRVO
DVA
WRK
LNC
ALLE
AIZ
BWA
CZR
BBWI
WHR
TPR
ZION
FRT
PNW
FBHS
LUMN
GNRC
SEE
IVZ
PNR
AOS
DXC
UHS
NWL
XRAY
WYNN
OGN
MHK
NCLH
ALK
VNO
RL
DISH
